nama_produk,harga,url_gambar,link_produk
"Fire Blanket Firefix 1,8m x 1,8m",Rp121.018,https://fireshop.co.id/wp-content/uploads/2022/03/fire-blanket-18x18-1.webp,https://fireshop.co.id/harga/fire-blanket-1-8-m-x-1-8-m-firefix/
APAR 6 Kg Powder Firefix,Rp439.977,https://fireshop.co.id/wp-content/uploads/2021/12/6kg-magnetic-powder-500x500-1.jpg,https://fireshop.co.id/harga/apar-firefix-6-kg-powder/
APAR 4 Kg Powder GuardALL,Rp1.486.401,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-12.jpg,https://fireshop.co.id/harga/harga-apar-4-kg-guardall/
APAR 3 Kg Powder GuardALL,Rp1.289.820,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-4.webp,https://fireshop.co.id/harga/apar-3-kg-guardall/
APAR CO2 2.3 Kg Hooseki,Rp619.850,https://fireshop.co.id/wp-content/uploads/2021/12/alat-pemadam-api-hooseki-co2-2.3kg-karbon-dioksida.webp,https://fireshop.co.id/harga/apar-hooseki-2-3-kg-co2/
APAR Hooseki 3.5 Kg Powder,Rp554.973,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-9.webp,https://fireshop.co.id/harga/apar-hooseki-3-5-kg/
"APAR Firefix+ 3,5 Kg Powder Grade 90%",Rp637.140,https://fireshop.co.id/wp-content/uploads/2023/10/apar-35-kg-1.webp,https://fireshop.co.id/harga/apar-firefix-35-kg-powder/
,,https://fireshop.co.id/wp-content/uploads/2022/03/fire-blanket-18x18-1.webp,https://fireshop.co.id/harga/fire-blanket-1-8-m-x-1-8-m-firefix/
,,https://fireshop.co.id/wp-content/uploads/2021/12/6kg-magnetic-powder-500x500-1.jpg,https://fireshop.co.id/harga/apar-firefix-6-kg-powder/
,,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-12.jpg,https://fireshop.co.id/harga/harga-apar-4-kg-guardall/
,,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-4.webp,https://fireshop.co.id/harga/apar-3-kg-guardall/
,,https://fireshop.co.id/wp-content/uploads/2021/12/alat-pemadam-api-hooseki-co2-2.3kg-karbon-dioksida.webp,https://fireshop.co.id/harga/apar-hooseki-2-3-kg-co2/
,,https://fireshop.co.id/wp-content/uploads/2023/08/Black-White-Simple-Monochrome-Initial-Name-Logo-9.webp,https://fireshop.co.id/harga/apar-hooseki-3-5-kg/
,,https://fireshop.co.id/wp-content/uploads/2023/10/apar-35-kg-1.webp,https://fireshop.co.id/harga/apar-firefix-35-kg-powder/
